timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1785358330204,668,GET /api/transactions,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-5,text,true,,26165,471,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,349,0,0
1785358331098,405,GET /api/auth/me,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-8,text,true,,2398,466,10,10,https://finsense-backend-ypwx.onrender.com/api/auth/me,405,0,0
1785358331193,449,GET /api/transactions,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-6,text,true,,26165,471,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,344,0,0
1785358331469,449,GET /api/auth/me,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-9,text,true,,2398,466,10,10,https://finsense-backend-ypwx.onrender.com/api/auth/me,449,0,0
1785358332060,415,GET /api/auth/me,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-10,text,true,,2398,466,10,10,https://finsense-backend-ypwx.onrender.com/api/auth/me,415,0,0
1785358331517,1081,POST /api/transactions (crear gasto),201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-2,text,true,,1713,619,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,1081,0,0
1785358332350,537,GET /api/transactions,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-7,text,true,,26165,471,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,329,0,0
1785358331900,987,POST /api/transactions (crear gasto),201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-3,text,true,,1713,619,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,987,0,0
1785358331900,1228,POST /api/transactions (crear gasto),201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-1,text,true,,1713,619,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,1228,0,0
1785358332400,970,POST /api/transactions (crear gasto),201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-4,text,true,,1713,619,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,970,0,0
1785358332887,886,POST /api/transactions (crear gasto),201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-5,text,true,,1713,619,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,886,0,0
1785358333506,573,GET /api/transactions,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-8,text,true,,26165,471,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,446,0,0
1785358333919,587,GET /api/transactions,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-9,text,true,,26165,471,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,369,0,0
1785358333659,896,POST /api/transactions (crear gasto),201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-6,text,true,,1713,619,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,895,0,0
1785358334489,510,GET /api/transactions,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-10,text,true,,26165,471,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,365,0,0
1785358334611,470,GET /api/budgets,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-2,text,true,,1363,466,10,10,https://finsense-backend-ypwx.onrender.com/api/budgets,470,0,0
1785358334902,408,GET /api/budgets,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-3,text,true,,1363,466,10,10,https://finsense-backend-ypwx.onrender.com/api/budgets,408,0,0
1785358335131,408,GET /api/budgets,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-1,text,true,,1363,466,10,10,https://finsense-backend-ypwx.onrender.com/api/budgets,408,0,0
1785358334902,892,POST /api/transactions (crear gasto),201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-7,text,true,,1713,619,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,892,0,0
1785358335375,436,GET /api/budgets,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-4,text,true,,1363,466,10,10,https://finsense-backend-ypwx.onrender.com/api/budgets,436,0,0
1785358335777,422,GET /api/budgets,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-5,text,true,,1363,466,10,10,https://finsense-backend-ypwx.onrender.com/api/budgets,421,0,0
1785358336557,414,GET /api/budgets,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-6,text,true,,1363,466,10,10,https://finsense-backend-ypwx.onrender.com/api/budgets,414,0,0
1785358336085,886,POST /api/transactions (crear gasto),201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-8,text,true,,1713,619,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,886,0,0
1785358337084,271,GET /api/goals,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-2,text,true,,2022,464,10,10,https://finsense-backend-ypwx.onrender.com/api/goals,271,0,0
1785358336508,896,POST /api/transactions (crear gasto),201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-9,text,true,,1713,619,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,896,0,0
1785358337323,276,GET /api/goals,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-3,text,true,,2022,464,10,10,https://finsense-backend-ypwx.onrender.com/api/goals,276,0,0
1785358337551,324,GET /api/goals,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-1,text,true,,2022,464,10,10,https://finsense-backend-ypwx.onrender.com/api/goals,291,0,0
1785358337003,872,POST /api/transactions (crear gasto),201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-10,text,true,,1714,620,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,872,0,0
1785358337826,291,GET /api/goals,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-4,text,true,,2022,464,10,10,https://finsense-backend-ypwx.onrender.com/api/goals,291,0,0
1785358337809,421,GET /api/budgets,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-7,text,true,,1363,466,10,10,https://finsense-backend-ypwx.onrender.com/api/budgets,420,0,0
1785358338213,368,GET /api/goals,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-5,text,true,,2022,464,10,10,https://finsense-backend-ypwx.onrender.com/api/goals,367,0,0
1785358338978,257,GET /api/goals,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-6,text,true,,2022,464,10,10,https://finsense-backend-ypwx.onrender.com/api/goals,257,0,0
1785358338978,434,GET /api/budgets,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-8,text,true,,1363,466,10,10,https://finsense-backend-ypwx.onrender.com/api/budgets,434,0,0
1785358339363,427,GET /api/analytics/summary,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-2,text,true,,2538,476,10,10,https://finsense-backend-ypwx.onrender.com/api/analytics/summary,427,0,0
1785358339412,442,GET /api/budgets,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-9,text,true,,1363,466,9,9,https://finsense-backend-ypwx.onrender.com/api/budgets,441,0,0
1785358339611,484,GET /api/analytics/summary,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-3,text,true,,2538,476,9,9,https://finsense-backend-ypwx.onrender.com/api/analytics/summary,484,0,0
1785358339885,402,GET /api/budgets,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-10,text,true,,1363,466,8,8,https://finsense-backend-ypwx.onrender.com/api/budgets,401,0,0
1785358339885,418,GET /api/analytics/summary,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-1,text,true,,2538,476,8,8,https://finsense-backend-ypwx.onrender.com/api/analytics/summary,418,0,0
1785358340125,369,GET /api/analytics/summary,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-4,text,true,,2538,476,7,7,https://finsense-backend-ypwx.onrender.com/api/analytics/summary,369,0,0
1785358340238,276,GET /api/goals,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-7,text,true,,2022,464,6,6,https://finsense-backend-ypwx.onrender.com/api/goals,276,0,0
1785358340594,429,GET /api/analytics/summary,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-5,text,true,,2538,476,6,6,https://finsense-backend-ypwx.onrender.com/api/analytics/summary,429,0,0
1785358341248,404,GET /api/analytics/summary,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-6,text,true,,2538,476,5,5,https://finsense-backend-ypwx.onrender.com/api/analytics/summary,404,0,0
1785358341425,283,GET /api/goals,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-8,text,true,,2022,464,4,4,https://finsense-backend-ypwx.onrender.com/api/goals,283,0,0
1785358341869,291,GET /api/goals,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-9,text,true,,2022,464,4,4,https://finsense-backend-ypwx.onrender.com/api/goals,291,0,0
1785358342289,261,GET /api/goals,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-10,text,true,,2022,464,4,4,https://finsense-backend-ypwx.onrender.com/api/goals,261,0,0
1785358342518,391,GET /api/analytics/summary,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-7,text,true,,2538,476,4,4,https://finsense-backend-ypwx.onrender.com/api/analytics/summary,391,0,0
1785358343722,422,GET /api/analytics/summary,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-8,text,true,,2538,476,3,3,https://finsense-backend-ypwx.onrender.com/api/analytics/summary,421,0,0
1785358344174,357,GET /api/analytics/summary,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-9,text,true,,2538,476,2,2,https://finsense-backend-ypwx.onrender.com/api/analytics/summary,357,0,0
1785358344554,346,GET /api/analytics/summary,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-10,text,true,,2538,476,1,1,https://finsense-backend-ypwx.onrender.com/api/analytics/summary,346,0,0
